Name,No
Rabbit Foot,153
Rainbow Serpent Skin,381
Rank Elixir,252
Rapier,94
Red Granite,559
Resurrection Scroll,187
Ribbon,350
Riding Crop,47
Ring of Doom,477
Ring of Invisibility,267
Ring of Life,268
Ring of Mana,269
Ring of Power,270
Ring Mail,442
Ritual Knife,489
Rock-Salt,244
Rose-Tinted Glasses,253
Round Shield,116
Rowing Oar,42
Royal Seal,383
Ruby Amulet,194
Ruby Ring,196
Rusty Blade,300
Saddle,48
Saddle Bags,49
Sandals,21
Sapphire Ring,197
Saw,54
Scale Armour,318
Scimitar,77
Screaming Skull,500
Scroll of Darkness,186
Scroll of Doom,476
Scroll of Fire,185
Scroll of Flight,178
Scroll of Healing,174
Scroll of Identification,173
Scroll of Light,175
Scroll of Mapping,182
Scroll of Opening,179
Scroll of Protection,180
Scroll of Teleportation,176
Scythe,55
Sea-Shell,22
Seal Skin,112
Serrated Dagger,317
Serrated Sword,316
Severed Hand,499
Shaman Mask,227
Shark Fin,123
Shark Skin,122
Shark-Tooth Necklace,121
Sharpening Stone,215
Sheep-Shears,56
Shovel,57
Sickle,58
Silk,352
Silk Handkerchief,353
Silver Dagger,312
Silver Ingot,226
Silver Key,222
Silver Mirror,204
Sinew,154
Skein of Silk,232
Skeleton Key,456
Skunk Gland,152
Smelly Socks,249
Snake Skin,149
Snake Venom,150
Sniper Bow,325
Snow-Leopard Hide,151
Soap,33
Spectacles,219
Spiked Gauntlets,331
Spiked Shield,349
Splint Mail,445
Spoon,247
Studded Leather Armour,446
Suit of Cards,257
Sulphur,372
Sun-Stone,379
Sun-Sword,482
Sword of Doom,475
Tallow,245
Tattered Shirt,239
Tears of the Goddess,382
The Great Key,451
Thick Hide,13
Throwing Axe,99
Throwing Knife,205
Throwing Star,97
Tin Ingot,164
Tinderbox,34
Toadstool,159
Tourmaline Ring,200
Towel,33
Toxic Spores,241
Trumpet,39
Tusk,142
Two-Handed Sword,101
Unicorn Horn,373
Vampire Bat Wing,230
Vampire Fangs,375
Vampire Teeth,376
Vial of Acid,264
Vial of Blood,243
Vial of Holy Water,502
Vial of Poison,150
Wand of Fire,263
Wand of Ice,496
Wand of Light,175
Wand of Lightning,497
Wand of Magic,261
War Axe,79
War Hammer,83
War Paint,214
War-Scythe,88
Wasp Sting,146
Watchful Eye,259
Water Flask,25
Wax,464
Whetstone,215
Whip,8
Whistle,38
White Granite,560
White Iron Gauntlets,398
White Iron Greaves,399
White Iron Helm,397
White Iron Plate,447
White Iron Shield,400
Wolf Skin,140
Wooden Club,4
Wooden Key,221
Wooden Shield,116
Wooden Staff,10
Wool,147
Working Boots,90
Wormwood,155
Wraith-Dust,503
Wyvern Scale,235
X-Ray Specs,32
Yellow Granite,561
Yew Bow,80
Zebra Hide,14
Zir-Kut Root,158
Zombie Brain,162
